acceleration (mg) - 2015-03-04 10:00:00 - 2015-03-11 09:59:55 - sampleRate = 5 seconds,imputed
161.4,0
82.5,0
82.8,0
62.2,0
56.9,0
69.8,0
75.8,0
129.6,0
64.5,0
134.6,0
193.5,0
123.6,0
139.3,0
109,0
42,0
3.5,0
3.8,0
7.9,0
2.8,0
2.7,0
87.8,0
3.2,0
345.3,0
96.1,0
176.2,0
113.9,0
84.4,0
145.3,0
228.4,0
134.3,0
163.4,0
27.2,0
14.4,0
30.8,0
33.6,0
40.2,0
97.9,0
246.1,0
59.4,0
81.9,0
97.6,0
4.3,0
0.4,0
0.1,0
0.3,0
0.1,0
0.1,0
0.2,0
0.1,0
0.1,0
0.2,0
0.2,0
0.1,0
0.1,0
0.4,0
0.2,0
0.2,0
0.1,0
0,0
0,0
0.1,0
0,0
0.1,0
0,0
0,0
0,0
0,0
6.4,0
0.1,0
0.1,0
0.1,0
0,0
0.2,0
0.2,0
0.2,0
0.2,0
0.1,0
0,0
0,0
0,0
0,0
0,0
0,0
0.1,0
0.1,0
0.1,0
0.2,0
0.2,0
0.2,0
0.2,0
0.2,0
0.2,0
0.2,0
0.2,0
0.2,0
0.1,0
0.2,0
26.5,0
1.8,0
2,0
1.4,0
1.9,0
1.5,0
1.2,0
1,0
1.5,0
1.4,0
1.4,0
2.4,0
44.3,0
10.8,0
0.1,0
0,0
0,0
0,0
0,0
0.1,0
0.1,0
0.1,0
0.1,0
0.2,0
0.2,0
0.2,0
0.3,0
0.4,0
0.4,0
0.5,0
0.2,0
0.5,0
0.2,0
0.2,0
20.7,0
0.3,0
0.2,0
0,0
0,0
0.1,0
3.8,0
18.7,0
26.6,0
11.5,0
8.2,0
4.9,0
4.7,0
4.4,0
3.8,0
3.9,0
3.8,0
3.3,0
3.6,0
3.5,0
3.6,0
3.9,0
4.2,0
4.3,0
40.1,0
1.8,0
1.6,0
1.3,0
1.6,0
0.6,0
0.5,0
1.4,0
1.9,0
1.3,0
2.1,0
1.6,0
1.6,0
2,0
0.8,0
1.7,0
1.9,0
1.6,0
1.9,0
1.6,0
1.9,0
10.8,0
36.4,0
1.7,0
7.8,0
6.3,0
6.8,0
6.5,0
5.6,0
3.8,0
3.2,0
2.9,0
25.1,0
26.6,0
10.3,0
0.5,0
0.5,0
0.2,0
0,0
0.2,0
0.4,0
0.4,0
0.4,0
0.2,0
0.5,0
0.4,0
0.6,0
0.6,0
0.6,0
0.4,0
0.2,0
0.3,0
0.3,0
0.2,0
0.2,0
0.2,0
0.2,0
0.2,0
0.1,0
0.3,0
0.1,0
0.1,0
0.2,0
6.3,0
6.5,0
7.5,0
0.3,0
0.3,0
0.3,0
0.1,0
0,0
10.1,0
5.4,0
1.2,0
0.1,0
0.2,0
0.2,0
0.4,0
1.8,0
2.5,0
3.8,0
4.4,0
4.4,0
4,0
2.5,0
1.3,0
1.5,0
1.4,0
3,0
19.8,0
1.6,0
52.2,0
84.4,0
72.8,0
49.7,0
27.3,0
38,0
90.4,0
34.2,0
41.4,0
48.7,0
87.1,0
27,0
13,0
17.1,0
10.3,0
55.6,0
55.2,0
20.5,0
26.9,0
81.6,0
28.6,0
24,0
38.8,0
27.7,0
33.4,0
24.7,0
23.3,0
16.1,0
59.8,0
71.9,0
51,0
54.3,0
30.3,0
81.2,0
93.5,0
100.7,0
152.2,0
63,0
44.9,0
54.8,0
36,0
23.5,0
1.7,0
1.9,0
0.9,0
1.8,0
2.3,0
8.2,0
29.3,0
23.2,0
2.9,0
1.1,0
1.7,0
2.3,0
2.6,0
4,0
4.1,0
7.5,0
4.3,0
3.8,0
4.2,0
2.3,0
2.5,0
3.3,0
2.7,0
2,0
2.1,0
3.4,0
3.4,0
3.9,0
3.5,0
3.1,0
3.2,0
3.5,0
2.8,0
3.5,0
2.4,0
1.4,0
1.2,0
1.2,0
1.2,0
1.5,0
1.7,0
1.8,0
1.3,0
2.1,0
5,0
5.7,0
5,0
4,0
4.8,0
3,0
6,0
7,0
7.1,0
7,0
6.9,0
6.4,0
6.8,0
8.1,0
9.7,0
9.4,0
9.6,0
10.2,0
10.6,0
10.9,0
9.1,0
10.7,0
10.7,0
10.4,0
10.5,0
9.2,0
7.3,0
5,0
5.5,0
6.1,0
5.8,0
41.1,0
23.6,0
25.3,0
25.1,0
3.7,0
3.9,0
3.5,0
3.9,0
4,0
3.3,0
2.9,0
15,0
13.8,0
85.8,0
82.7,0
42.4,0
11.3,0
1.6,0
2.1,0
1.5,0
1.9,0
0.6,0
0.5,0
0.3,0
0.6,0
1.7,0
351.3,0
128.1,0
202.6,0
103.2,0
61.4,0
14.3,0
29.3,0
2.7,0
2.7,0
3.6,0
3.7,0
3.3,0
3.1,0
2.6,0
3.6,0
3.3,0
2.9,0
2.6,0
2,0
2,0
2,0
1.7,0
1.9,0
2.2,0
1.1,0
0.7,0
0.8,0
0.8,0
0.4,0
0.3,0
0.3,0
0.9,0
1.4,0
3.5,0
2.4,0
0.8,0
0.9,0
0.8,0
0.9,0
1,0
2.2,0
2.1,0
0.8,0
1,0
0.9,0
1.5,0
1.2,0
1,0
2.9,0
1.3,0
0.8,0
1.6,0
1,0
2,0
2,0
1.7,0
1.7,0
2.5,0
1.9,0
1.9,0
1.5,0
1,0
1.1,0
0.9,0
1.1,0
0.9,0
1,0
0.8,0
1.5,0
2.6,0
1.2,0
0.8,0
1.8,0
1,0
1,0
1.2,0
1.4,0
2.4,0
0.7,0
0.9,0
1.1,0
1.8,0
2.7,0
2.6,0
1.2,0
2.3,0
2.3,0
1.1,0
1.1,0
1.5,0
1.3,0
1.7,0
2.1,0
1.4,0
31.3,0
18.5,0
20.6,0
2.4,0
1.6,0
1.8,0
1.7,0
3.2,0
1.5,0
1.3,0
0.8,0
0.4,0
0.4,0
0.6,0
0.8,0
0.9,0
0.7,0
0.8,0
0.9,0
1.2,0
1,0
1.7,0
17.3,0
6.1,0
46.5,0
11.3,0
3.5,0
3.5,0
3.3,0
2.3,0
1.2,0
1.1,0
1,0
0.5,0
0.3,0
0.3,0
1.3,0
1.2,0
1.3,0
1,0
0.6,0
0.4,0
0.5,0
0.5,0
1.1,0
1.3,0
1.2,0
1.6,0
1.4,0
1.2,0
1.2,0
0.9,0
0.9,0
0.4,0
0.5,0
0.5,0
